,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
AFG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,6,,,,0,0,,0,,,0,,-,0,0,,1,,0,0,,
ALB,0,,C,4,,,0,0,0,,0,6,,,0,0,,0,,,0,,6,,1,0,3,41,,104,0,0,,0,0,24,0,,43,0,,0,0,,,,,0,108,,,,,0,5,,0,,,,C,0,C,0,,,0,,-,0,8,,0,,12,91,,
DZA,0,,0,0,,,0,,0,,0,0,,,0,15,,0,,,2,,3,,,0,260,0,,,0,0,,0,0,0,0,,,0,,0,0,164,,,,0,0,,,22,,0,0,,0,,,,0,16,,0,,,0,,-,0,1,,0,,228,0,,
ASM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,0,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,,,0,0,,1,,,,0,0,,0,,,0,,-,0,,,0,,0,0,,
AND,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,1,0,,,0,0,,0,0,0,0,,,17,,0,0,,,,,0,40,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,3,0,,0,,1,8,0,
AGO,0,,37,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,13,0,,0,0,1,0,,,1,,0,0,,,,,0,0,,,14,,0,0,,4,,0,,0,404,,0,,,0,99,-,0,0,,0,,98,7,,
AIA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,9,0,,,0,0,,0,0,0,0,1,,0,,0,0,,,,,0,0,,,,,0,0,,1,,0,,0,0,,0,,,0,,-,1,,,0,,372,1,,
ATG,0,,C,0,,,0,0,0,,0,0,,,0,0,,0,,6,0,0,0,,,0,0,0,,0,0,0,,0,0,0,0,,1,0,,0,0,,24,,,0,2,,,,,0,0,,0,,0,,0,0,,0,C,,0,,C,0,,,0,,0,66,,
ARG,,1,20,172,147,1,0,25,71,,196,0,99,251,88,50,,4,1,53,4,0,413,,,0,225,628,,3,136,0,0,0,1,174,1,1,"3,027",343,155,2,13,,3,21,,0,"2,134",,,11,7,0,453,,18,,7,0,C,0,,1,22,,0,12,146,13,203,,3,,"2,487","7,110",78,112
ARM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,18,0,,,0,0,,0,0,165,0,,,0,,0,0,,,,,0,148,,,,,0,3,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
ABW,0,,C,21,,,0,,1,,0,0,1,17,0,6,,0,,291,0,,3,,,0,1,11,,,0,0,,0,0,22,0,,5,484,,0,4,,,,,0,35,,,,,0,3,,0,,9,,0,0,,0,C,,0,,-,0,2,,0,,12,502,,
AUS,1,6,,"2,467",6,186,"1,379","5,436","10,922",4,6,1,"23,243",414,196,"33,904",549,25,6,62,4,24,"1,957",,1,"2,033","29,182","27,575",32,100,"1,261",3,12,29,102,"31,443",238,327,"4,854","165,569","1,374","1,674","3,529",0,11,152,,11,"39,732","1,737",370,216,0,28,"23,396","17,560","21,106",,20,222,1,476,0,205,"27,522",120,223,291,"1,665","7,301","28,957","2,496",6,,"87,348","351,064",158,1
AUT,0,1,"1,352",,,24,94,"14,104","1,669",,8,113,999,9,225,525,34,31,23,1,83,"3,219","2,090",,165,"2,656","68,696","108,003",6,658,382,918,2,0,0,"8,215",31,92,"18,932","16,233","1,019",588,91,,41,5,,59,"28,577",37,413,,,0,"36,838",,"5,763",,0,0,805,"2,257",705,264,C,"1,421",858,3,"6,532",839,"31,300",9,5,,"12,596","14,408",27,
AZE,0,,C,7,,0,0,,0,,0,0,4,,0,C,,0,,,0,,21,,,0,5,26,,,9,0,,0,0,1,0,,11,15,84,0,13,,1,1,,0,283,,,,,0,83,,0,,0,,0,0,,1,C,,0,,-,0,11,,5,,34,87,,
BHS,0,0,C,41,,,400,13,0,,"1,081",0,130,70,15,2,15,0,0,96,0,0,368,,,148,137,62,2,,266,0,,0,0,282,2,1,38,"1,710",691,0,0,,0,5,,1,"1,080",6,,3,,0,237,,56,,6,17,0,33,C,0,C,,0,,C,19,"3,071",148,0,,199,"5,467",7,
BHR,0,,C,30,,,0,3,251,,0,0,,,0,51,0,0,,,17,,7,35,1,0,34,190,,3,65,0,,0,0,53,0,,27,35,358,0,3,"6,388",,360,,1,230,78,,,,0,110,,48,11,0,0,0,0,C,0,C,,0,,C,0,37,15,5,,516,0,0,
BGD,0,,0,0,,,0,0,0,,0,0,,,0,467,,0,0,,0,,97,,,0,,0,,,0,0,,0,1,9,0,,,0,,0,1,35,,,,0,91,,,10,,0,3,,6,,0,,0,0,,0,C,,0,,-,0,1,,0,,257,102,,
BRB,0,1,C,36,,,,3,173,,0,0,52,4,0,0,,0,,,0,,7,,,0,0,33,,,19,0,,0,0,37,0,1,6,24,,0,0,,,,,0,265,,,,,0,30,,0,,5,,0,0,,0,,,0,,-,0,18,9,0,,227,"1,684",1,
BLR,0,,0,8,,0,0,,0,,0,0,,,0,5,,0,,,25,,32,,,0,23,59,,,51,0,0,0,0,11,0,,43,32,,0,0,,0,0,,2,353,,,,,0,41,,0,,0,,0,0,,126,C,,0,,C,0,16,,0,,161,408,,
BEL,0,1,"1,217","4,927",,28,20,,"1,178",29,348,196,"2,147",1,98,540,13,25,11,41,460,"2,120","1,936",31,158,"2,002","110,077","45,460",30,211,206,135,1,1,1,"15,958",16,43,"9,593","22,824","1,172",52,314,,11,82,,35,"60,063",10,196,17,,0,"27,639",14,"6,444",0,0,,45,"2,113",0,11,C,125,374,25,"7,270","1,227","6,590",20,1,,"41,991","45,546",64,
BLZ,0,,0,1,,0,0,0,0,,3,0,3,,0,0,,4,2,,0,,16,,,0,4,1,,,0,0,,0,0,0,0,,1,0,,0,316,,20,,,0,8,,,6,,0,0,,0,,0,,0,0,,8,C,,0,,C,0,1,,0,,3,84,0,
BEN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,3,,,0,19,0,,,0,0,,0,0,0,0,,,0,6,0,0,,,,,0,5,,,0,,0,0,,0,,0,,0,0,,0,,,0,,-,0,2,,0,,0,1,,
BMU,0,1,"3,833",306,13,57,33,"1,030",,,"3,093",2,"10,772",63,11,"89,574",659,0,0,68,26,81,"1,428",,3,"1,047","4,031","2,320",6,12,"3,261",6,16,207,1,"5,433",626,76,543,"26,864",193,11,541,48,1,22,,3,"29,401",252,3,904,,0,"6,183",108,"4,662",1,15,3,2,24,0,168,"9,412",,4,"14,146",176,"3,537","4,667",25,0,,"10,194","178,344",63,
BTN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,98,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
BOL,0,,0,1,,,0,,0,,0,0,,2,0,0,,0,,0,0,,13,,,0,0,26,,,6,0,,0,0,1,0,,8,6,,0,0,,,,,0,99,,,,,0,34,,0,,0,,0,0,,0,C,,0,,C,1,2,,0,,101,95,2,
BES,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,,,0,,,0,0,,0,0,0,,,,0,,0,0,,,,,0,109,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,89,,0,,0,0,,
BIH,0,,0,8,,,0,,0,,0,0,,,0,0,,0,,,0,,34,,,0,0,8,,,0,0,0,0,0,21,0,,2,0,,0,0,19,,,,0,245,,,,,0,9,,0,,0,,0,0,,0,,,34,,-,0,1,,0,,20,81,,
BWA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,4,,,0,3,0,,,1,0,,0,0,18,0,,,0,,0,0,,,,,0,12,,,3,,0,1,,0,,0,,0,0,,0,,,0,52,-,0,0,,0,,27,67,,
BRA,430,4,"4,394",562,"5,340",877,15,627,"4,120",5,,4,"12,122","23,974","2,363",180,20,475,45,115,1,15,"3,602",10,3,160,"9,425","6,080",6,13,"2,843",5,4,2,1,"15,083",12,90,"1,667","27,853",544,5,"5,902",,1,16,,4,"58,912",5,,1,763,0,"13,198",0,"9,847",16,560,0,1,891,C,93,C,7,122,455,C,"2,196","4,744","6,181",13,,"127,154","216,116",239,12
IOQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,1,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,89,,0,,0,0,,0,,,0,,-,0,0,,0,,0,6,,
BRN,0,,0,0,,,0,,0,,1,0,,1,0,0,,0,,,0,,0,,,0,18,0,,,0,0,,0,1,0,0,,,0,,0,2,,,,,0,0,0,,,,0,0,,0,,0,,0,0,,0,C,,0,,-,0,0,,0,,0,0,0,
BGR,0,,C,567,,3,0,36,0,,0,,2,,0,0,,0,,,35,2,22,,15,0,188,482,,343,11,17,0,0,0,5,0,,29,6,32,0,6,,16,,,6,239,,,,,0,36,,0,,0,,6,0,51,13,,21,2,,C,4,11,,0,,"1,167",157,0,
BFA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,32,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,1,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
BDI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,0,6,,,0,,4,,,0,0,,0,0,0,0,,8,0,,0,0,,,,,0,68,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,2,0,,
KHM,0,,0,1,,,0,,0,,0,0,,,0,C,,0,,,0,,0,,,0,,0,,,2,0,,0,0,1,0,,,0,,0,1,,,,,0,192,0,,0,,0,4,,4,,0,,0,0,,0,,,0,,-,0,3,1,0,,4,0,,
CMR,0,,0,0,,,0,0,0,,0,0,,,0,C,,0,,,0,,0,,,0,642,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,11,,,27,,0,0,,0,,0,,C,0,,0,,,0,,-,0,0,,0,,91,4,,
CAN,6,6,"20,153","1,914",5,209,"1,593","3,513","11,634",6,52,2,,789,671,"8,658",221,913,15,98,46,58,"2,507",,8,"1,277","19,383","20,238",71,67,"2,607",20,294,9,0,"24,790",128,204,"3,077","61,176","1,196","1,794","2,721",84,251,35,,3,"43,352",29,66,99,48,9,"16,346",433,"23,229",,91,23,75,187,18,502,C,10,48,"1,097",536,"10,700","30,014",78,12,,"26,918","808,022",177,
CPV,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,73,,0,,,0,,-,0,0,,0,,0,0,,
CYM,0,2,C,"4,584",24,914,"1,131","3,064","8,474",,893,1,"14,525",,636,"203,760","1,409",70,12,"6,041",72,8,"9,036",154,32,"12,235","23,602","24,066",99,455,"20,125",5,50,9,379,"32,605","2,118",222,"3,872","575,629","6,153",31,"4,300","7,284",8,84,,6,"63,564",887,,278,493,0,"21,618",0,"4,867",3,249,233,3,"5,438",0,79,"8,896",34,23,430,C,"7,530","37,910",339,251,,"98,617","796,931",92,5
CAF,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,0,0,,,5,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
TCD,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
CHL,2,1,482,87,15,188,1,33,672,8,326,0,"1,067",540,,205,4,104,1,101,0,0,441,,,C,621,"1,364",,,114,1,0,1,0,"1,220",0,1,100,782,202,0,190,,0,2,,1,"5,827",0,,,3,0,"1,665",0,"1,251",,162,0,0,0,,0,C,1,4,,C,153,741,62,0,,"4,157","27,912",183,3
HKG,0,2,"7,506",496,,31,58,403,919,,11,0,"10,502",74,42,,"10,661",0,0,25,3,20,"2,078",5,8,807,"6,999","3,467",2,7,848,12,19,61,424,"13,025",217,189,673,"16,984",439,932,"7,239",58,0,8,,0,"34,731","2,798",,"2,693",,404,"10,874",0,"5,427",,7,247,C,27,,43,"22,697",1,64,42,"2,087","3,504","4,205","1,475",0,,"41,559","144,743",0,
MAC,0,0,C,0,,,0,,48,,0,0,,,0,772,,0,,0,0,0,0,,,0,,0,,,0,0,,0,0,41,0,,,45,,2,24,,,,,0,68,,,,,0,0,,0,,0,,0,335,,0,C,,0,,-,11,0,102,0,,74,0,,
CHN,23,3,"4,746",466,,28,6,533,657,,1,0,"8,655",23,104,"283,235","11,607",1,1,7,0,17,"1,543",11,4,662,"12,514","2,882",21,8,"2,021",2,7,2,904,"15,703",43,55,916,"10,423",560,9,"6,749",201,0,93,,4,"37,942",551,,"5,300",19,1,"9,044",0,"7,100",5,10,369,1,27,,16,"57,783",,109,258,C,"1,417","2,824",526,0,,"33,088","120,392",2,
CXQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,C,0,,,0,,0,0,,
CCQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,0,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,0,,
COL,0,2,162,92,10,2,40,22,"1,148",7,13,0,538,200,371,11,,,18,77,0,0,749,,,C,353,"1,546",,0,214,0,,0,0,922,0,,150,"1,467",199,2,91,,0,,,0,"5,229",,,14,,0,"1,761",0,395,,709,,0,0,,0,C,1,1,,136,92,329,3,0,,"1,806","19,996",148,3
COM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
COD,0,,0,0,,,0,17,0,,0,0,,,0,0,,0,,,0,,0,,,0,"2,070",0,,,0,0,,0,0,0,0,,,1,,0,0,,,,,0,3,,,,,0,0,,0,,0,,0,0,,2,,,0,,-,0,0,,0,,371,0,,
COG,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,33,,,0,18,5,,,0,0,,0,0,0,0,,0,0,,0,0,,,,,0,38,,,,,0,5,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,29,223,,
COK,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,0,0,,,0,0,,0,0,0,1,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,C,,0,,-,0,,,0,,0,7,,
CRI,0,,0,4,16,1,8,0,115,,1,0,,16,5,C,,0,,,0,,34,,,0,1,115,,0,14,0,,0,0,49,0,,8,38,6,0,3,,,,,0,354,,,,,0,90,,1,,213,,0,0,,0,C,,0,,C,0,8,,0,,106,769,0,
CIV,0,,C,12,,0,0,0,50,,0,0,9,,0,13,,0,,,0,,146,,,C,219,45,,0,73,0,,0,0,29,0,,5,67,85,0,0,,,0,,0,672,0,,55,,0,80,,201,,0,,0,0,,0,C,,0,28,-,0,136,,0,,276,716,,
HRV,0,0,3,929,,1,0,47,153,,0,100,36,,0,3,,0,,,2,2,364,,16,53,"1,586","1,129",2,33,109,27,0,0,0,272,0,,391,129,24,0,4,,25,2,,13,"2,095",,7,1,,0,381,,56,,0,,C,0,3,4,C,162,48,,C,6,121,3,0,,486,"2,276",1,
CUB,0,,C,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,0,0,,,6,0,1,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,4,,0,,0,,0,0,,0,,,0,,-,6,0,,0,,23,0,,10
CUW,0,10,0,616,,,11,"2,711",72,,0,11,"1,378",6,4,15,0,0,0,,16,452,234,,,,"38,836","1,801",,82,23,77,,0,0,884,,23,965,"10,212",62,43,7,,1,,,5,"3,389",1,,,,0,"1,998",,817,,0,,19,123,C,1,C,39,44,,977,79,"3,284",,0,,224,"69,652",,
CYP,0,0,25,190,,,0,123,7,,0,1,89,,0,625,,0,,,,88,118,,7,127,249,614,,"1,086",143,3,0,2,0,139,0,,63,16,"1,158",22,24,,32,8,,7,"1,846",9,17,94,,0,215,0,756,,0,,81,10,23,"2,735",C,103,5,2,C,206,70,,1,66,"1,280","1,587",0,
CZE,0,,269,"3,648",,,0,"2,090",11,,0,494,215,,0,62,,0,,0,19,,202,,33,116,"3,217","8,241",2,9,152,154,0,0,0,710,0,1,"1,093",940,716,28,58,,11,,,53,"3,760",,25,,,0,"2,582",,"1,200",,0,,431,18,8,2,C,"1,091",194,,C,117,"1,216",1,0,,"3,918","4,420",,
DNK,0,1,C,"3,312",,20,36,"2,547",895,1,"1,462",26,"3,282",1,250,618,113,1,18,15,13,31,,,91,"40,137","16,980","28,631",232,17,"13,737",2,44,0,0,"8,668",209,38,"2,555","11,852","1,963",581,293,10,33,6,,132,"17,670",21,35,178,,0,"9,430",0,"25,602",,3,0,6,531,0,4,C,240,70,204,540,"22,871","10,597",6,14,,"19,756","49,269",1,
DJI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,2,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
DMA,0,,0,0,,,5,,0,,0,0,,,0,0,,0,,0,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,2,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
DOM,0,0,C,13,,0,0,4,123,,0,0,68,7,2,C,,60,0,46,0,,98,,,0,18,108,,,20,0,,0,0,59,0,,39,41,68,0,0,,0,0,,0,690,,,,,0,165,,0,,95,,0,0,,0,,,0,,C,0,16,,0,,69,"1,102",0,
ECU,0,,0,5,,0,0,0,0,,1,0,,,0,6,,0,1,,0,,9,,,0,15,4,,0,8,0,,0,0,0,0,,3,5,,0,0,,0,0,,0,186,,,,,0,3,,0,,19,,0,0,,0,C,,0,,C,0,6,,6,,27,289,1,
EGY,0,0,C,21,,138,0,16,20,,0,0,159,,9,23,,0,,0,26,0,119,,,C,473,88,,8,262,1,,0,0,416,0,,23,62,137,0,27,766,0,8,,0,"1,041",5,,34,,0,220,,360,,8,,0,0,,1,C,,0,227,C,28,68,5,0,,"1,074","4,655",,
SLV,0,0,C,22,10,1,3,0,393,,0,0,12,16,0,0,,273,19,,0,,118,,,0,26,165,,,61,0,,0,0,73,0,,33,85,,0,4,,,,,0,600,,,,,0,166,,0,,56,,0,0,,0,C,,0,,C,0,13,,0,,107,"1,175",0,
GNQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,0,0,,,0,0,7,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,54,,
ERI,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,4,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
EST,0,,C,111,,,0,4,0,,0,0,,,0,0,,0,,,0,14,48,,,350,53,132,2,0,2,1,0,0,0,108,0,,3,1,,0,3,,95,,,166,288,,,,,0,55,,19,,0,,27,0,,16,C,9,28,,C,317,85,,0,,17,146,,
ETH,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,1,59,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,23,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
FLK,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,,0,,0,,,0,0,11,,,0,0,,0,0,0,0,,0,0,,0,0,,0,,,0,5,0,,,,0,0,,0,,0,,0,0,,0,C,,0,,C,0,1,,0,,6,24,,
FRO,0,,0,0,,,0,1,0,,0,0,,,0,0,,0,,,0,,731,,,0,0,7,,,2,0,20,0,0,24,0,,0,0,,0,0,,,,,0,21,,,,,0,0,,10,,0,,0,0,,0,C,,0,,C,11,3,,0,,1,22,,
FJI,0,,C,0,,,0,,0,,0,0,,,0,C,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,0,0,,0,0,,,,,0,165,,,,,0,0,,0,,0,,0,0,,0,C,,0,,-,0,0,,0,,5,7,,
FIN,0,1,"1,761","4,667",,2,2,"5,239","1,481",,3,15,"1,475",105,10,629,2,1,0,7,130,55,"9,389",,462,,"17,345","35,210",22,165,"1,302",3,22,0,0,"12,087",143,7,"2,880","13,763",958,283,324,0,137,3,,70,"18,819",0,44,1,0,0,"22,033",9,"13,087",,13,0,C,538,6,2,C,673,122,6,"1,248","30,231","8,179",3,0,,"26,081","26,578",55,
FRA,1,9,"18,283","30,015",12,496,163,"130,805","15,080",170,125,142,"27,675",251,849,"10,328",402,68,20,150,"1,371","1,059","17,634",80,590,"19,496",,"375,394",186,"2,087","5,614",167,613,0,8,"120,932",164,"2,150","135,557","215,947","9,190","3,819","6,187",185,203,552,,419,"290,847",124,"1,433",72,23,1,"188,590",0,"58,625",7,28,76,311,"12,251",53,"1,329",C,"2,726","2,218",238,"48,026","17,156","99,114",364,9,,"234,528","369,813",69,7
TFQ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,,,0,,0,0,,
PYF,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,79,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
NCL,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,95,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,C,,0,,-,0,0,,0,,0,0,,
GAB,0,,0,3,,0,0,3,199,,0,0,2,,0,0,,0,,,0,,24,,,0,163,145,,,2,0,,0,0,67,0,,5,11,43,0,0,,0,,,0,99,,,,,0,33,,0,,0,,0,0,,0,C,,0,,C,0,40,,0,,19,0,,
GMB,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,21,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,4,0,,
